Business Name,Website,Phone,Address,Specialty
Skyline Smiles,https://www.skylinesmiles.com,(312) 300-5711,"1017 W Madison St Chicago, IL 60607","Pediatric Dentists, Endodontists, Orthodontists"
"Hartej S Sood, DDS",http://www.DrSood.com,(773) 327-0011,"2551 N Clark St Ste 600 Chicago, IL 60614","General Dentistry, Cosmetic Dentists, Periodontists"
A Brush Above Family Dentistry,http://www.abrushabove.net/,(773) 276-0300,"3236 W Fullerton Ave Chicago, IL 60647",General Dentistry
Delight Dental Studio,http://www.delightdentalstudio.com,(773) 698-8752,"1651 N Western Ave Ste B & C Chicago, IL 60647","General Dentistry, Cosmetic Dentists, Endodontists"
606 Dental,https://www.606dental.com,(773) 527-2606,"1047 N California Ave Chicago, IL 60622","Cosmetic Dentists, General Dentistry"
Bucktown Wicker Park Dental,https://www.bucktowndental.com,(773) 252-2303,"2303 W North Ave Chicago, IL 60647","General Dentistry, Cosmetic Dentists"
Zephyr Dental,https://www.roscoevillagedentist.com,(773) 796-5928,"3531 N Western Ave Unit B Chicago, IL 60618","Pediatric Dentists, General Dentistry, Cosmetic Dentists"
ORA Dental Studio,http://www.oradentalstudio.com,(773) 227-6721,"1854 W Division St Chicago, IL 60622","Cosmetic Dentists, General Dentistry, Orthodontists"
Skyline Smiles - Bucktown,http://www.skylinesmiles.com,(312) 312-3759,"2156 N Damen Ave Chicago, IL 60647","Cosmetic Dentists, Prosthodontists, Orthodontists"
VIP Dental Lounge,https://www.vipdentallounge.com,(773) 974-3631,"5120 W Irving Park Rd Chicago, IL 60641","General Dentistry, Cosmetic Dentists, Orthodontists"
Lakeview Smiles - Bucktown,https://dentistrynearme.co/chicago/il/lakeview-smiles-bucktown/,(773) 985-6930,"1977 N Milwaukee Ave Chicago, IL 60647","General Dentistry, Periodontists, Cosmetic Dentists"
"Priscilla Yeung, DMD",Website Unavailable,Phone Number Unavailable,"2245 W North Ave Unit 102 Chicago, IL 60647",Endodontists
Wicker Park Dental Group,https://www.wickerparkdentalgroup.com,(773) 276-5566,"1738 W North Ave Chicago, IL 60622","General Dentistry, Pediatric Dentists, Cosmetic Dentists"
Family Care Dental Group,http://familycaredentalgroup.com,(708) 894-2135,"3143 W Devon Ave Chicago, IL 60659","General Dentistry, Cosmetic Dentists, Endodontists"
"Eric M Schoening, DDS - Dentist On The Park",http://www.DentistOnThePark.com,(872) 888-9010,"8 S Michigan Ave Ste 1306 Chicago, IL 60603","Cosmetic Dentists, General Dentistry, Teeth Whitening"
Downtown Dental Loop,https://www.downtown-dental.com/locations/loop/,(812) 903-9867,"25 E Washington St Ste 1921 Chicago, IL 60602","General Dentistry, Periodontists, Cosmetic Dentists"
Northside Dental,http://www.northsidesmiles.com,(773) 561-2237,"5820 N Clark St Chicago, IL 60660","General Dentistry, Cosmetic Dentists, Periodontists"
Cortland Smiles,http://www.cortlandsmiles.com,(312) 361-1649,"1649 W Cortland St C-101 Chicago, IL 60622","General Dentistry, Cosmetic Dentists, Endodontists"
"John Sfikas, DDS, PC",http://www.johnsfikasddspc.com,(773) 506-1111,"5319 N Sheridan Rd Chicago, IL 60640","General Dentistry, Cosmetic Dentists"
Chicago Dental Studio,http://www.thechicagodentalstudio.com,(773) 725-6086,"4401 W Lawrence Ave Chicago, IL 60630","General Dentistry, Oral Surgeons, Orthodontists"
Montrose Tooth Fairy,http://montrosetoothfairy.com,(773) 754-8610,"834 West Montrose Ave Ste 101 Chicago, IL 60613","General Dentistry, Cosmetic Dentists, Periodontists"
Smile Design Studio of Hyde Park,https://chicagodentistry.com,(773) 643-6006,"1525 E 53rd St 734 Ste 734 Chicago, IL 60615","Oral Surgeons, General Dentistry, Cosmetic Dentists"
East Village Dental Centre,http://www.evdental.com,(773) 278-6622,"901 N Ashland Ave Chicago, IL 60622","Orthodontists, Cosmetic Dentists, General Dentistry"
Chinatown Family Dental,http://www.chinatownfamilydental.com,(312) 842-0888,"2252 S Canal St Ste 208 Chicago, IL 60616","General Dentistry, Cosmetic Dentists"
Bridgeport Family Dental Center,http://bridgeportfamilydental.com,(312) 791-0920,"2959 S Wallace St Chicago, IL 60616","General Dentistry, Endodontists, Cosmetic Dentists"
Smile On Dental Salon & Sleep Apnea Center,https://smileonchicago.com/aboutus/deerfield-dental-clinic/,(773) 525-5545,"1350 W Belmont Ave Ste 1 Chicago, IL 60657","Cosmetic Dentists, General Dentistry, Pediatric Dentists"
1st Family Dental of Logan Square,https://1stfamilydental.com/locations/logan-square/,(773) 772-5555,"2511 N Milwaukee Ave Chicago, IL 60647","General Dentistry, Orthodontists, Cosmetic Dentists"
Lakeview Smiles - Lakeview,https://lakeviewsmileschicago.com/lakeview,(773) 929-1150,"855 W Belmont Ave Chicago, IL 60657","Cosmetic Dentists, General Dentistry, Periodontists"
Cusp Dental,http://www.cuspdentalchicago.com/,(773) 687-8052,"3917 N Ashland Ave Chicago, IL 60613","Periodontists, Cosmetic Dentists, General Dentistry"
The Art of Dental Care,http://www.artofdentalcare.com,(773) 227-8005,"2101 N Damen Ave Chicago, IL 60647",General Dentistry
Uptown Dental,http://www.uptowndentalllc.com,(773) 490-7337,"1635 W Cortland St Chicago, IL 60622",General Dentistry
Avenue Dental,http://www.avenuedental-chicago.com,(312) 322-6882,"1844 W Chicago Ave Chicago, IL 60622","Pediatric Dentists, General Dentistry, Periodontists"
Modern Dental Of Logan Sqaure,http://www.moderndentalchicago.com,(773) 717-5509,"2645 North Milwaukee Ave Chicago, IL 60647","Endodontists, Periodontists, Cosmetic Dentists"
"Sweet Tooth Dentistry: Margaux Grason, DMD",http://www.sweettoothdentist.com,(773) 525-7725,"2454 N Ashland Ave Chicago, IL 60614","Cosmetic Dentists, General Dentistry, Dental Hygienists"
Sonrisa Dental on Armitage,http://www.sonrisadental.net,(773) 342-2628,"3069 W Armitage Store B Chicago, IL 60647","General Dentistry, Cosmetic Dentists, Oral Surgeons"
Optima Family Dental,http://www.optimafamilydental.com,(773) 725-6606,"4956 W Irving Park Rd Ste 100 Chicago, IL 60641",General Dentistry
Pilsen Dental Center,http://www.pilsendentalcenter.com,(312) 733-7454,"1726 W 18th St Chicago, IL 60608","General Dentistry, Cosmetic Dentists"
Enamel Dental Studio,http://www.enameldentalchicago.com,(312) 586-2900,"1061 W Jackson Blvd Ste C Chicago, IL 60607","Cosmetic Dentists, General Dentistry, Periodontists"
Clearly Cares Dental,http://clearlycaresdental.com,(773) 478-1988,"3246 N Elston Ave Chicago, IL 60618","General Dentistry, Cosmetic Dentists"
Sparrow Dental,http://www.sparrowdental.com/,(773) 525-2920,"2920 N Ashland Ave Chicago, IL 60657","Cosmetic Dentists, General Dentistry, Periodontists"
Chicago Smiles,http://www.CosmeticDentistryofChicago.com,(312) 346-0171,"227 W Monroe St Ste 205 Chicago, IL 60606","General Dentistry, Cosmetic Dentists"
Forever Dental,https://www.forever-dental.com,(773) 847-6453,"4450 South Archer Ave Chicago, IL 60632","General Dentistry, Cosmetic Dentists, Endodontists"
Advantage Dental Care,http://www.Advantagedentalchicago.com,(773) 772-8001,"2020 N California Ave Chicago, IL 60647",General Dentistry
South Loop Dental Specialists,http://www.endoperiosurg.com/,(312) 356-4700,"850 S Wabash St Ste 240 Chicago, IL 60605","Endodontists, Periodontists"
Dental Salon,http://www.dentalsalon.com,(312) 642-3370,"939 W North Ave Ste 890 Chicago, IL 60642","Cosmetic Dentists, General Dentistry, Endodontists"
Dentologie - Streeterville,https://www.dentologie.com,(312) 846-6752,"353 E Grand Ave Chicago, IL 60611","General Dentistry, Oral Surgeons, Cosmetic Dentists"
Smiles on Elston,http://www.SmilesOnElston.com/,(773) 763-7434,"5780 N Elston Ave Chicago, IL 60646","General Dentistry, Cosmetic Dentists"
Pilsen Smiles,http://www.pilsensmiles.com,(312) 971-8528,"971 W 18th St Chicago, IL 60608","General Dentistry, Cosmetic Dentists, Endodontists"
"Ronald Zelikow, DDS",http://ronaldzelikowdds.com/,(773) 348-3309,"2057 W Belmont Ave Chicago, IL 60618","General Dentistry, Cosmetic Dentists"
Magnolia Pediatric & Orthodontic Dentistry,http://www.magnoliapediatricdentistry.com,(773) 698-6620,"1611 N Wolcott Ave Chicago, IL 60622","Pediatric Dentists, Orthodontists"
Lakeview Dental Arts,https://lakeviewdentalarts.com,(773) 270-5000,"3115 N Broadway Chicago, IL 60657","General Dentistry, Cosmetic Dentists, Oral Surgeons"
Smile Dental Care - Chicago,https://smiledentalcenters.com/chicago/,(773) 839-3066,"7011 W Archer Ave Chicago, IL 60638","Cosmetic Dentists, Endodontists, Orthodontists"
Polished - A Dental Studio,http://polishedchicago.com/,(773) 697-9861,"1442 W Belmont Ave Ste 1w Chicago, IL 60657","General Dentistry, Cosmetic Dentists, Orthodontists"
"ORA Dental, Oral Surgery & Implant Studio",http://www.orasurgery.com,(312) 328-9000,"1827 S Michigan Ave Ste B Chicago, IL 60616","Oral Surgeons, Orthodontists"
Dente Complete Dentistry,https://mydente.com,(773) 292-1911,"1704 W N Ave Chicago, IL 60622","General Dentistry, Cosmetic Dentists, Endodontists"
Lincoln Park Dentistry,http://www.procaredentalgroup.com,(773) 528-6485,"2266 N Lincoln Ave Fl 1 Chicago, IL 60614","General Dentistry, Cosmetic Dentists"
Brite Dental,http://www.britedentalclinics.com,(773) 697-3164,"2314 N Milwaukee Ave Chicago, IL 60647","General Dentistry, Orthodontists, Cosmetic Dentists"
Dental Smiles of West Loop - Chicago,https://dentalsmilesofwestloop.com/our-office-chicago-il/,(312) 724-7161,"1202 W Madison St Chicago, IL 60607","General Dentistry, Periodontists, Endodontists"
Sky Dental,http://skydentalchicago.com,(773) 840-8484,"916 W Belmont Ave Ste 201 Chicago, IL 60657","General Dentistry, Cosmetic Dentists"
Blue Line Dental,http://www.thechicagoillinoisdentist.com,(773) 227-2110,"2009 W North Ave Ste 1 Chicago, IL 60647",General Dentistry
Ora Dental Studio - River North,http://www.oradentalstudio.com,(312) 836-1166,"326 W Illinois St Chicago, IL 60654","General Dentistry, Cosmetic Dentists"
Wrigleyville Dental,https://www.wrigleyvilledental.com,(773) 923-2578,"3256 N Ashland Ave Chicago, IL 60657","General Dentistry, Cosmetic Dentists, Endodontists"
Chicago All Care Dental Group,https://chicagoallcaredentalgroup.com,(312) 733-3343,"1918 S Blue Island Ave Chicago, IL 60608","General Dentistry, Cosmetic Dentists, Orthodontists"
"Cheng Hilary, DDS",Website Unavailable,Phone Number Unavailable,"2165 S China Pl Ste A Chicago, IL 60616",General Dentistry
West Loop Dental Associates,http://www.westloopdental.com,(312) 666-5166,"1111 W Madison St Ste 1 Chicago, IL 60607",General Dentistry
Bucktown Endodontics,http://www.bucktownendodontics.com,(773) 697-4535,"2300 W Armitage Ave Chicago, IL 60647",Endodontists
EZ Dental South Loop,http://www.ezdentalsouthloop.com,(312) 588-1477,"1466 S Michigan Ave Chicago, IL 60605","Cosmetic Dentists, Endodontists, Periodontists"
CARE Endodontics of Chicago,http://www.careendo.com,(773) 244-1933,"2551 N Clark St Ste 701 CARE Endodontics of Chicago Chicago, IL 60614",Endodontists
Chicago Dental Studio,https://thechicagodentalstudio.com,(312) 668-0044,"1255 W Fullerton Ave Chicago, IL 60614","Cosmetic Dentists, General Dentistry, Orthodontists"
"Michael E Murzyn, DDS",Website Unavailable,Phone Number Unavailable,"1880 N Damen Ave Chicago, IL 60647",General Dentistry
Pure Dental Spa West Loop,https://puredentalspa.com/west-loop/,(312) 313-7213,"1222 W Madison St Ste 300 Chicago, IL 60607","General Dentistry, Orthodontists, Cosmetic Dentists"
1st Family Dental of Little Village,https://1stfamilydental.com/locations/little-village/,(773) 521-2800,"4049 W 26th St Chicago, IL 60623","Orthodontists, General Dentistry, Cosmetic Dentists"
Kimberly Smiles Cosmetic & General Dentistry,http://dentistwickerparkchicago.com,(773) 276-1047,"1835 N Milwaukee Ave Chicago, IL 60647","Cosmetic Dentists, General Dentistry"
Urban Smiles Dental,https://urbansmileschicago.com,(773) 819-7724,"1300 N Ashland Ave Ste 123A Chicago, IL 60622",General Dentistry
Clark Dental Care,http://www.clarkdentalchicago.com,(773) 769-4585,"4403 N Clark St Chicago, IL 60640","General Dentistry, Cosmetic Dentists"
Skyline Smiles of Roscoe Village,https://www.skylinesmiles.com,(773) 295-7108,"2125 W Roscoe St Chicago, IL 60618","General Dentistry, Endodontists, Orthodontists"
Today's Dentistry,http://www.todaysdentistrychicago.com/,(773) 334-1801,"5667 North Clark St Chicago, IL 60660",Cosmetic Dentists
Shoreline Dental Chicago,https://shorelinedentalchicago.com,(312) 266-9487,"737 N Michigan Ave Ste 910 Chicago, IL 60611","General Dentistry, Cosmetic Dentists"
Woodlawn Dental Gallery,http://www.wdgsmiles.com,(224) 408-0832,"1502 E 63rd St Chicago, IL 60637","General Dentistry, Orthodontists, Cosmetic Dentists"
Growing Smiles,http://www.growingsmileschicago.com,(773) 472-4769,"3701 N Southport Chicago, IL 60613",Pediatric Dentists
"Larisa Bandura, DDS",http://larisabanduradds.com,(312) 405-6071,"945 N Western Ave Chicago, IL 60622","Endodontists, Periodontists, Cosmetic Dentists"
Fulton River Dental,http://www.fultonriverdental.com,(312) 775-0700,"567 W Kinzie St Chicago, IL 60654","General Dentistry, Cosmetic Dentists"
Green Tree Dental,https://greentreedentalchicago.com,(773) 661-9722,"3309 W North Ave Chicago, IL 60647","General Dentistry, Cosmetic Dentists"
Neighborhood Dental,http://www.neighborhooddental.net,(773) 348-3950,"2040 W Irving Park Rd Chicago, IL 60618","General Dentistry, Cosmetic Dentists"
Dental Innovations,http://dentalinn.com/,(773) 784-4554,"4554 N Lincoln Ave Chicago, IL 60625","General Dentistry, Orthodontists, Cosmetic Dentists"
Edgewater Dental Group,https://www.edgewaterdentistchicago.com,(773) 627-0111,"6260 Broadway St Chicago, IL 60660","Cosmetic Dentists, Endodontists"
University Dental Professionals,https://www.udpdentistry.com,(773) 684-5702,"5549 S Cornell Ave Chicago, IL 60637","General Dentistry, Cosmetic Dentists, Endodontists"
Lincoln Shine Dental,http://www.lincolnshinedental.com,(312) 373-1117,"2620 N Halsted St Chicago, IL 60614","General Dentistry, Cosmetic Dentists, Orthodontists"
Atul Patel DDS,http://www.dentistsareus.com,(773) 772-0077,"3414 W North Ave Chicago, IL 60647","General Dentistry, Cosmetic Dentists, Endodontists"
Taylor Dental Clinic,http://www.taylordentalclinicchicago.com,(312) 226-1537,"1145 W Taylor St Chicago, IL 60607","General Dentistry, Cosmetic Dentists"
Westend Dental,https://www.westenddental.com,(773) 244-9500,"1170 W Armitage Ave Chicago, IL 60614","Cosmetic Dentists, General Dentistry, Orthodontists"
"Mascorro Linda Tiffin, DDS",Website Unavailable,Phone Number Unavailable,"2300 W Taylor St Chicago, IL 60612","General Dentistry, Endodontists, Cosmetic Dentists"
Old Town Dental Care,Website Unavailable,Phone Number Unavailable,"1504 N Wells Chicago, IL 60610",General Dentistry
Lawndale Dental Center,https://www.lawndaledentalcenter.com,(773) 565-4042,"3600 W Roosevelt Rd Chicago, IL 60624","General Dentistry, Endodontists, Periodontists"
Full Smile Family Dentist,https://www.fullsmilefamilydentist.com,(773) 235-0000,"3939 W Fullerton Ave Chicago, IL 60647","General Dentistry, Cosmetic Dentists"
"Jeffrey Wolszon, DDS",http://www.jeffreywolszondds.com,(312) 733-1080,"1511 W Taylor St Chicago, IL 60607",General Dentistry
Wentworth Dental Clinic,Website Unavailable,Phone Number Unavailable,"2323 S Wentworth Ave Ste 202 Chicago, IL 60616","General Dentistry, Orthodontists"
Freshworks Dental Studio,http://www.freshworksdental.com,(312) 899-6757,"3864 N Lincoln Ave Chicago, IL 60613","General Dentistry, Pediatric Dentists, Cosmetic Dentists"
Rosen Dental,http://www.rosendentalchicago.com,(773) 248-6140,"2845 N Sheridan Rd Ste 706 Chicago, IL 60657","Cosmetic Dentists, General Dentistry"
TruBlu Dentistry,https://www.trubludentistry.com,(773) 847-6544,"2355 S Oakley Ave Chicago, IL 60608","Cosmetic Dentists, General Dentistry, Orthodontists"
