Business Name,Website,Phone,Address,Specialty
Terrie L Culver & Associates,http://www.tculverlaw.com,(312) 698-9853,"454 E Northwest Hwy Des Plaines, IL 60016","Real Estate Law, Business Law, Wills, Trusts, & Probates"
Blumenshine Law Group,https://www.blumenshinelawgroup.com,(312) 766-1000,"117 N Jefferson St Ste 203 Chicago, IL 60661",Personal Injury Law
Robert J Adams & Associates,https://www.robertadamslaw.com,(312) 804-1944,"540 W 35th St Fl 1 Chicago, IL 60616",Bankruptcy Law
Law Office of Michael A. Perez,https://www.lomap.com,(773) 772-8989,"1011 N California Ave Chicago, IL 60622","Divorce & Family Law, Bankruptcy Law, Real Estate Law"
Horwitz Horwitz & Associates,https://www.horwitzlaw.com,(312) 481-6422,"25 E Washington St Ste 900 Chicago, IL 60602","Personal Injury Law, Workers Compensation Law"
Jill Rose Quinn Attorney At Law,http://www.jillrosequinn.com/,(773) 777-9277,"5097 N Elston Ave Ste 304 Chicago, IL 60630","Bankruptcy Law, Divorce & Family Law, Criminal Defense Law"
Taege Law Offices,https://taegelaw.com?npcmp=dir:local:5216747:60642,(312) 667-7706,"1415 N Dayton St Ste 3d East Chicago, IL 60642","Divorce & Family Law, Estate Planning Law, Real Estate Law"
Fagan Fagan & Davis,http://www.myattorneysonline.com/home,(312) 858-5057,"161 N Clark St Ste 1662 Chicago, IL 60601","DUI Law, Criminal Defense Law, Traffic Ticketing Law"
Kathleen Marie Walsh Attorney At Law,http://kathleenwalshfamilylaw.net,(708) 447-8081,"3236 S Racine Chicago, IL 60608","Divorce & Family Law, Real Estate Law, Estate Planning Law"
Herbert Law Firm,http://www.danherbertlaw.com,(312) 655-7660,"206 S Jefferson St Ste 100 Chicago, IL 60661","Personal Injury Law, Employment Law, Criminal Defense Law"
Caras Law Group,http://www.deancaras.com,(312) 494-1500,"320 W Illinois St Ste 2312 Chicago, IL 60654",Lawyers
Law Offices of Kimberly Duda,https://kdudalaw.com,(312) 346-0240,"811 W Superior Ste 1 Chicago, IL 60642","Divorce & Family Law, Business Law, Real Estate Law"
The Prinz Law Firm,https://www.prinz-lawfirm.com,(312) 345-6603,"1 E Upper Wacker Dr Ste 1800 Chicago, IL 60601","Employment Law, Business Law"
Lubin Austermuehle,https://www.thebusinesslitigators.com,(630) 333-0333,"19 S Lasalle St Ste 702 Chicago, IL 60603","Employment Law, Business Law, Consumer Law"
Villalobos & Associates,https://villaloboslaw.com,(312) 666-9982,"1620 W 18th St Chicago, IL 60608","Criminal Defense Law, Immigration Law, Business Law"
Rifkind Patrick,http://www.rifkindpatrick.com,(312) 313-0234,"3025 N Lincoln Ave Unit 1 Chicago, IL 60657","Business Law, Real Estate Law, General Litigation"
Chicago Trusted Attorneys,https://www.chicagotrustedattorneys.com,(312) 931-5411,"444 W Lake St Ste 1700 Chicago, IL 60606","DUI Law, Criminal Defense Law, Traffic Ticketing Law"
Law Office of Clyde Guilamo,https://www.guilamolaw.com,(708) 966-9829,"1 E Erie St Ste 525-4591 Chicago, IL 60611","Criminal Defense Law, DUI Law, Traffic Ticketing Law"
Case + Sedey,http://www.caseandsedey.com,(312) 920-0400,"250 S Wacker Dr Ste 230 Chicago, IL 60606",Employment Law
Oleksiuk & Associates,Website Unavailable,Phone Number Unavailable,"2250 W Chicago Ave Chicago, IL 60622",Lawyers
Law Offices of Darryl A. Goldberg,http://www.goldbergdefense.com/,(773) 793-3196,"33 N Dearborn St Ste 1830 Chicago, IL 60602",Criminal Defense Law
"The Davis Law Group, PC",https://www.illinoisdriverslicensereinstatementlawyer.com,(312) 982-8135,"191 Waukegan Rd Ste 305 Northfield, IL 60093","Criminal Defense Law, DUI Law, Traffic Ticketing Law"
Womens Divorce and Family Law Group,https://www.womensfamilylawyers.com,(312) 445-8830,"77 W Wacker Dr Fl 45 Chicago, IL 60601",Divorce & Family Law
Gorski David B,Website Unavailable,Phone Number Unavailable,"2555 N Milwaukee Ave Chicago, IL 60647",Lawyers
Luisi Legal Group,https://www.chicagocriminaldefenselawyer.net,(773) 276-5541,"1231 N Ashland Ave Chicago, IL 60622","Criminal Defense Law, DUI Law, Traffic Ticketing Law"
Kent M Lucaccioni,http://www.kmlltdlaw.com,(872) 813-0216,"20 S Clark St Ste 1700 Chicago, IL 60603","Personal Injury Law, Workers Compensation Law, Medical Law"
Danielle M Blondin,Website Unavailable,Phone Number Unavailable,"225 W Washington Ave Ste 2200 Chicago, IL 60606",Bankruptcy Law
Hakimi Law,http://www.hakimi.law,(312) 702-0068,"166 W Washington Ste 400 Chicago, IL 60202","General Litigation, Business Law, Real Estate Law"
Sara E Sumner,Website Unavailable,Phone Number Unavailable,"1617 N Hoyne Ave Chicago, IL 60647",Estate Planning Law
Law Offices of Steven R Hunter,http://www.srhunterlaw.com/,(312) 466-9466,"900 W Jackson Blvd Ste 7-E Chicago, IL 60607","Criminal Defense Law, DUI Law"
"Scott D. Pollock & Associates, PC",https://www.lawfirm1.com,(312) 444-1940,"105 W Madison St Ste 2200 Chicago, IL 60602",Immigration Law
Ryan Law Group,http://dsryanlaw.com/,(773) 687-9064,"2661 N Lincoln Ave F 1 Chicago, IL 60614","Real Estate Law, Estate Planning Law"
Law Office Of Stephen L. Hoffman,http://www.hofflawyer.com,(773) 944-9737,"33 N Dearborn St Ste 2330 Chicago, IL 60602","Personal Injury Law, Workers Compensation Law"
Martinez Law,https://www.martinezlawllc.net,(773) 818-3020,"4115 W 26th St Chicago, IL 60623","Real Estate Law, Business Law, Wills, Trusts, & Probates"
Tang & Associates Law Office,http://tnalawoffice.com,(773) 944-4000,"4802 N Broadway St Ste 201B Chicago, IL 60640","Bankruptcy Law, Real Estate Law"
Rubens Kress & Mulholland,https://www.chicagoworkcomp.com/chicago-il-office/,(312) 201-9640,"77 W Washington St Ste 701 Chicago, IL 60602","Personal Injury Law, Workers Compensation Law"
Cohn & Cohn,http://www.cohnandcohnlawoffices.com,(312) 346-9336,"77 W Washington St Ste 1422 Chicago, IL 60602","Social Security Law, Personal Injury Law, Workers Compensation Law"
Nicholas Jakubco Attorney At Law,http://www.jakubcolaw.com,(708) 744-8617,"2224 W Irving Park Rd Chicago, IL 60618","Real Estate Services, Wills, Trusts, & Probates, Personal Injury Law"
Kovitz Shifrin Nesbit,http://www.ksnlaw.com,(312) 372-3227,"55 W Monroe Ste 2445 Chicago, IL 60603","Estate Planning Law, Divorce & Family Law, Real Estate Law"
The Law Offices of Haytham Faraj,http://farajlaw.com,(312) 635-0800,"1935 W Belmont Ave Chicago, IL 60657","Personal Injury Law, Criminal Defense Law, Divorce & Family Law"
Booher Law Firm,http://Www.booherlawfirm.com,(312) 450-7476,"22 W Washington St Ste 1500 Chicago, IL 60602",Employment Law
Law Offices of Rajeev K Bajaj,http://www.criminaldefensecounselors.com,(888) 952-4529,"3245 W Fullerton Ave Chicago, IL 60647","Criminal Defense Law, DUI Law"
Margaret W. Wong & Associates,http://www.imwong.com,(312) 463-1899,"401 S La Salle St Ste 800C Chicago, IL 60605",Immigration Law
"Law Office of Young Ah Ri, P.C.",http://yrilaw.com,(312) 580-0623,"53 W Jackson Blvd Ste 1142 Chicago, IL 60604",Immigration Law
Law Offices of Fern Trevino,https://www.chicagoemploymentlawyer.net,(312) 630-4491,"444 N Michigan Ave Ste 2930 Chicago, IL 60611",Employment Law
Law Offices of Katrina M Barnett,http://www.kmbarnettlaw.com,(312) 725-0085,"401 North Michigan Ave Ste 1200 Chicago, IL 60611","Real Estate Law, Business Law, Wills, Trusts, & Probates"
Mullappallil Law Group,http://www.mullawgroup.com,(847) 650-8241,"4323 W Irving Park Unit 1B Chicago, IL 60641","Real Estate Law, Estate Planning Law, Contract Law"
Uche,http://criminaldefenseattorneyinchicago.com/,(312) 380-5341,"314 N Loomis St Ste G2 Chicago, IL 60607","Criminal Defense Law, DUI Law"
"Law Office Of Julie A. Monberg, PC",https://www.monberglaw.com,(773) 257-7401,"1525 E 53rd Ste 427 Chicago, IL 60615","Social Security Law, Disability Law"
Law Office of Nicholas Baker,http://www.nicholasbakerlaw.com,(773) 837-1123,"1117 N Ashland Ave Chicago, IL 60622","Personal Injury Law, Divorce & Family Law, Real Estate Law"
Matthew Rich - Braun & Rich,http://www.myreallaw.com,(773) 360-1032,"4301 N Damen Chicago, IL 60618",Real Estate Law
Chow Phillip Atty,Website Unavailable,Phone Number Unavailable,"2323 S Wentworth Ave Chicago, IL 60616",Lawyers
Fagan Fagan & Davis,http://www.myattorneysonline.com,(847) 737-5459,"2644 Dempster Ste 101 Park Ridge, IL 60068","Criminal Defense Law, DUI Law, Traffic Ticketing Law"
Law Offices of Alexander Volkov,Website Unavailable,Phone Number Unavailable,"2219 W Chicago Ave Ste 1 Chicago, IL 60622",Real Estate Law
Greater Chicago Legal Clinic,http://www.gclclaw.org,(312) 726-2938,"211 W Wacker Dr Ste 750 Chicago, IL 60606","Divorce & Family Law, Social Security Law, Immigration Law"
Nozari Legal,https://www.nozarilegal.com,(847) 861-7900,"701 Main St Unit 202 Evanston, IL 60202","Mediators, Employment Law, Real Estate Law"
Law Offices of John A. Conniff,http://www.jacfamilylaw.com/,(312) 255-0007,"77 W Wacker Ste 4500 Chicago, IL 60601",Divorce & Family Law
Law Offices of Alexander Jarowyj PC,Website Unavailable,Phone Number Unavailable,"2301 W Chicago Ave Chicago, IL 60622",Lawyers
Dynasty Law,https://www.dynastyfirm.com,(224) 335-4103,"605 N Michigan Ave Ste 400 Chicago, IL 60611",Estate Planning Law
The Romaker Law Firm,https://www.romakerlaw.com,(312) 377-7000,"211 W Wacker Dr Chicago, IL 60606","Personal Injury Law, Workers Compensation Law"
Law Office of Stephanie Kemen,http://www.kemenlaw.com,(312) 945-6612,"53 W Jackson Ste 1401 Chicago, IL 60604","Criminal Defense Law, DUI Law"
Law Office of Mila Gloria Novak,http://www.milaglorianovak.com/,(708) 343-9119,"2300 W Lake St Melrose Park, IL 60160","Personal Injury Law, Bankruptcy Law, Real Estate Law"
The Integrity Law Group,Website Unavailable,Phone Number Unavailable,"1117 North Ashland Ave Chicago, IL 60622",Criminal Defense Law
The Law Offices of Edward M Farmer,http://www.vetlawoffice.com,(800) 700-4174,"150 S Wacker Dr Ste 2400 Chicago, IL 60606","Estate Planning Law, Personal Injury Law, Disability Law"
Law Offices of Alexandra Martinez,http://www.axmlegal.com,(312) 807-4996,"3111 W Armitage Ave Ste 214 Chicago, IL 60647","Legal Services, Divorce & Family Law"
Robert J Callahan,https://www.defenselawyersite.com,(312) 322-9000,"53 W Jackson Blvd Ste 1615 Chicago, IL 60604",Criminal Defense Law
Fakhouri Injury and Accident Lawyers,https://www.fakhourilaw.com,(312) 999-9990,"77 W Wacker Dr Ste 4500 Chicago, IL 60601",Personal Injury Law
McGreal Disability Law,http://mcgrealdisabilitylaw.com,(312) 906-9444,"180 N LaSalle St Ste 3700 Chicago, IL 60601",Disability Law
Law Office of Vincent J. Pagano,http://criminalduichicago.com,(773) 616-0588,"1070 N Milwaukee Ave Chicago, IL 60642","Criminal Defense Law, DUI Law, Divorce & Family Law"
Fiscella Law,http://trafficlawil.com,(630) 708-6690,"201 E Ogden Ste 215 Hinsdale, IL 60521","Criminal Defense Law, DUI Law, Traffic Ticketing Law"
Attorney Sullivan & Associates,https://www.sullivan.associates,(312) 725-9724,"2821 N Halsted St Ste 1 Chicago, IL 60657",Divorce & Family Law
The Shimotake Law Firm,http://bankruptcychicagoland.com,(312) 620-6499,"1 S Dearborn St Ste 20-106A, Fl 20 Chicago, IL 60603","Bankruptcy Law, Real Estate Law, Wills, Trusts, & Probates"
The Ticket Clinic,https://www.theticketclinic.com/IL/locations/pilsen,(312) 940-8330,"1348 W 18th St Chicago, IL 60608","DUI Law, Traffic Ticketing Law"
Chase Werner,https://www.chaseandwerner.com,(312) 726-4864,"300 W Adams St Suite 330 Chicago, IL 60606",Personal Injury Law
Sharon Corse Law Offices,http://www.corselaw.com/,(773) 655-7440,"8401 Crawford Ave Skokie, IL 60076",Divorce & Family Law
Attorney Joseph P. Doyle,https://www.fightbills.com,(312) 957-8077,"401 S State St Mezz Level Chicago, IL 60605",Bankruptcy Law
"Brian J Thompson, CPA & Attorney",https://brianthompsonlaw.com,(773) 307-0181,"203 N LaSalle St Ste 2100 Chicago, IL 60601","Accountants, Real Estate Law, Tax Law"
Harvey Law Office,http://www.harveyfamilylaw.com,(312) 981-0096,"710 E 47th St Chicago, IL 60653","Divorce & Family Law, Legal Services"
Saper law Offices,http://www.saperlaw.com,(312) 527-4100,"505 N LaSalle Ste 350 Chicago, IL 60654","General Litigation, Business Law"
Gurney Law Group,https://www.gurneylawgroup.com,(312) 929-0974,"150 S Wacker Ste 2400 Chicago, IL 60606","Real Estate Law, Business Law, Wills, Trusts, & Probates"
Geraci Law,https://infotapes.com/bankruptcyillinois/chicagoillinoisbankruptcyattorney60603/,(888) 456-1995,"55 E Monroe St Ste 3400 Chicago, IL 60603","Bankruptcy Law, Personal Injury Law"
"Edward A Cohen & Associates, PC",http://www.eaclawgroup.com,(312) 658-3406,"30 N LaSalle St Ste 2220 Chicago, IL 60602","Business Law, Real Estate Law, General Litigation"
Gordon & Centracchio,https://gnclaw.com,(312) 332-2490,"211 W Wacker Dr Ste 500 Chicago, IL 60606","General Litigation, Personal Injury Law, Real Estate Law"
SwagatUSA,http://www.swagatusa.com,(312) 854-7065,"2551 N Clark St Ste 302 Chicago, IL 60614",Immigration Law
"Ankin Howard, Atty",http://ankinlaw.com,(312) 600-0000,"10 N Dearborn St Ste 500 Chicago, IL 60602","Personal Injury Law, Workers Compensation Law"
Father's Rights,http://dadsrights.com,(312) 807-3990,"19 S La Salle St Ste 1500 Chicago, IL 60603",Divorce & Family Law
Edelman Combs Latturner & Goodwin,https://www.edcombs.com,(312) 620-1335,"20 S Clark St Ste 1500 Chicago, IL 60603",Lawyers
"Andrew Makhlouf, Attorney at Law",http://www.bravemaklaw.com,(312) 610-9067,"10 N Dearborn St 11th Floor Chicago, IL 60601","General Litigation, Real Estate Law, Business Law"
Cheap Chicago Divorce.com,http://cheapchicagodivorce.com,(312) 456-9309,"1 N LaSalle St. Ste 2350 Chicago, IL 60602",Divorce & Family Law
Lawrence P Maya,http://www.stonemaya.com,(312) 283-5720,"205 W Randolph St Ste 1300 Stone & Maya Chicago, IL 60606","Personal Injury Law, Medical Law, Workers Compensation Law"
Shipley Law Group,http://www.shipleylawgroup.com,(312) 527-4545,"100 W Monroe St Ste 1510 Chicago, IL 60603",Lawyers
Lawyers For the Creative Arts,http://www.law-arts.org,(312) 649-4111,"213 W Institute Pl Chicago, IL 60610","Lawyers, Community Service/Non-Profit"
WCW Law,http://www.wcwlawllc.com,(312) 883-0607,"200 E Randolph St Ste 5100 Chicago, IL 60601","Divorce & Family Law, Real Estate Law, Estate Planning Law"
Kauffman Neil,http://acquittalchicago.com/,(773) 384-6399,"1944 W Chicago Ave Chicago, IL 60622",Lawyers
Meyers & Flowers - Trial Attorneys,https://www.meyers-flowers.com,(877) 221-2511,"225 W Wacker Dr Ste 1515 Chicago, IL 60606","General Litigation, Personal Injury Law, Business Law"
Law Office of Abogado Juan M Soliz,http://abogadojuanmsoliz.com,(773) 277-6155,"3203 S Pulaski Rd Chicago, IL 60623","Criminal Defense Law, Immigration Law, DUI Law"
Hispano Law Group,http://www.hispanolawgroup.com,(312) 569-0902,"2515 W Division Chicago, IL 60622","Divorce & Family Law, Immigration Law, Criminal Defense Law"
Beam Legal Team,https://www.beamlegalteam.com,(312) 487-2454,"954 W Washington Blvd Ste 215 Chicago, IL 60607",Personal Injury Law
Fenceroy Law Office,http://keithfenceroylaw.com,(773) 654-2404,"3047 N Lincoln Ave Chicago, IL 60657","Real Estate Law, Bankruptcy Law, Wills, Trusts, & Probates"
Fenbert & Associates,https://fenbertlaw.com/?npcmp=dir:local:4904153:60603,(630) 917-2051,"10 S Lasalle St Ste 3702 Chicago, IL 60603","Criminal Defense Law, DUI Law, Personal Injury Law"
Robert N Honig,http://www.suburbanbankruptcy.com,(630) 834-1800,"116 S York St Ste 215 Elmhurst, IL 60126","Bankruptcy Law, Real Estate Law"
Lori G Levin Attorney at Law,http://www.lorilevinlaw.com,(312) 972-3756,"161 N Clark st Ste 1600 Chicago, IL 60601","Criminal Defense Law, DUI Law"
Duffin & Dore,http://www.duffindorelaw.com,(312) 566-0911,"206 S Jefferson Ste 100 Chicago, IL 60661","Real Estate Law, Divorce & Family Law, Personal Injury Law"
Taradash Given,http://www.taradashgiven.com,(312) 775-1020,"161 N Clark St Ste 1700 Chicago, IL 60601",Divorce & Family Law
Levit & Lipshutz,Website Unavailable,Phone Number Unavailable,"1120 W Belmont Ave Chicago, IL 60657",Lawyers
"Theresa L. Panzica, LLC",Website Unavailable,Phone Number Unavailable,"2510 W Irving Park Rd Chicago, IL 60618","Wills, Trusts, & Probates, Real Estate Law"
The Limbaugh Law Firm,http://limbaughlawfirm.com,(312) 612-9225,"417 W Superior St Chicago, IL 60654","General Litigation, Real Estate Law"
McCready Law,https://mccreadylaw.com,(773) 779-9885,"10008 S Western Ave Chicago, IL 60643","Personal Injury Law, Workers Compensation Law"
Law Offices of James Kottaras,https://www.jklaws.com,(312) 346-5297,"180 N LaSalle St Ste 3700 Chicago, IL 60601","Real Estate Law, General Litigation"
Law Ofc of Edgar A Vega,Website Unavailable,Phone Number Unavailable,"1133 N California Ave Chicago, IL 60622",Lawyers
Law Office of Mitchell A Kline,http://mitchellkline.com,(312) 558-1454,"203 N La Salle St Ste 2100 Chicago, IL 60601","Employment Law, Personal Injury Law, Business Law"
Thayer C Torgerson Law Office,http://www.tedtorgersonlaw.com/,(773) 772-0844,"2400 N Western Ave Ste 201 Chicago, IL 60647","Bankruptcy Law, Tax Services, Real Estate Law"
Law Offices of Leonard S. Becker,http://www.lsblaw.net,(773) 820-8489,"311 N Aberdeen St Ste 200D Chicago, IL 60607","Personal Injury Law, Workers Compensation Law"
Weinstein Legal,http://weinsteinlegal.com,(312) 725-6323,"4044 N LIncoln Ave Ste 500 Chicago, IL 60618","Real Estate Law, Tenant and Eviction Law"
The Rooth Law Firm,http://www.roothlawfirm.com,(847) 869-9100,"1330 B Sherman Ave Evanston, IL 60201",Personal Injury Law
Law Offices of Anna Shilov Sterk,http://www.shilovlaw.com,(312) 662-0062,"210 S Clark St Ste 2025 Chicago, IL 60603",Real Estate Law
"Gardi, Haught, Fischer, & Bhosale",http://www.gardilaw.com,(708) 734-2297,"939 N Plum Grove Rd Ste C Schaumburg, IL 60173","Divorce & Family Law, Real Estate Law, Personal Injury Law"
The Rooth Law Firm,http://www.roothlawfirm.com,(847) 869-9100,"1330 B Sherman Ave Evanston, IL 60201",Personal Injury Law
Law Offices of Anna Shilov Sterk,http://www.shilovlaw.com,(312) 662-0062,"210 S Clark St Ste 2025 Chicago, IL 60603",Real Estate Law
"Gardi, Haught, Fischer, & Bhosale",http://www.gardilaw.com,(708) 734-2297,"939 N Plum Grove Rd Ste C Schaumburg, IL 60173","Divorce & Family Law, Real Estate Law, Personal Injury Law"
Jonathan D Groll Attorney at Law,http://www.groll-law.com,(708) 358-8565,"830 North Blvd Ste A Oak Park, IL 60301","Estate Planning Law, Real Estate Law"
Alliant Law Group,http://www.alliantlaw.us,(708) 366-9900,"200 E Randolph Ste 5100 Chicago, IL 60601","Immigration Law, Criminal Defense Law"
Monahan Law Group,https://www.monahanlawllc.com,(312) 419-0252,"55 W Monroe St Ste 3700 Chicago, IL 60603","Wills, Trusts, & Probates, Elder Law, Business Law"
Law Offices of Lauren A Cohen,http://www.lcfamilylaw.com,(847) 989-1115,"22 W Washington St Ste 1500 Chicago, IL 60602",Divorce & Family Law
"O'Mara, Gleason, & O'Callaghan",http://www.ogolawyers.com,(312) 600-5588,"230 W Monroe St Ste 2620 Chicago, IL 60606","General Litigation, Personal Injury Law, Criminal Defense Law"
